Loop 	Time(sec) 	Checksum
 s317	   123.902	0.000000
 s319	    26.129	43.803417
s3110	     2.019	514.000000
s13110	     2.008	514.000000
s3111	     3.173	10.950721
s3112	     6.375	1.644725
s3113	     7.868	2.000000
 s321	     9.163	32000.000000
 s322	     5.996	32000.000000
 s323	     6.377	146472.437500
 s331	     1.624	32000.000000
 s341	     4.088	10.950721
 s342	     4.593	10.950721
 s343	     0.902	1567.932129
 s351	    56.510	25606707200.000000
s1351	    39.261	32008.869141
 s352	    38.221	1.644725
 s353	     7.811	3200838400.000000
 s421	    15.618	32009.023438
s1421	    14.288	16000.000000
 s422	    28.520	257.660736
