Loop 	Time(sec) 	Checksum
 s173	    18.700	32001.626953
 s174	    18.698	32001.626953
 s175	     6.369	32009.023438
 s176	     4.939	32063.902344
 s211	    10.667	63983.308594
 s212	     9.071	132018.859375
s1213	     8.168	132016.171875
 s221	     5.544	1543684096.000000
s1221	     3.382	630439296.000000
 s222	     7.623	32000.000000
 s231	     8.734	119107.445312
 s232	     3.751	65536.000000
s1232	     5.329	33956.261719
 s233	    18.883	504920.187500
s2233	    13.913	337652.718750
 s235	    18.856	160024.046875
 s241	    22.297	64000.000000
 s242	     3.525	1535966208.000000
 s243	    16.969	810659.437500
 s244	    15.233	70110.828125
s1244	    13.828	108527.601562
s2244	     7.774	70110.859375
 s251	    21.143	32004.367188
s1251	    35.465	400005.843750
s2251	     9.283	2.635389
s3251	    11.938	12.595580
 s252	     4.729	63999.000000
 s253	    11.203	3200845824.000000
 s254	    15.632	32000.000000
 s255	     4.602	31953.501953
