Loop 	Time(sec) 	Checksum
 s317	   124.032	0.000000
 s319	    25.739	43.803417
s3110	     1.988	514.000000
s13110	     1.991	514.000000
s3111	     3.176	10.950721
s3112	     6.413	1.644725
s3113	     7.995	2.000000
 s321	     9.173	32000.000000
 s322	     5.998	32000.000000
 s323	     6.388	146472.437500
 s331	     1.667	32000.000000
 s341	     4.131	10.950721
 s342	     4.589	10.950721
 s343	     0.810	1567.932129
 s351	    51.556	25606707200.000000
s1351	    39.681	32008.869141
 s352	    36.527	1.644725
 s353	     7.648	3200838400.000000
 s421	    15.693	32009.023438
s1421	    14.240	16000.000000
 s422	    28.618	257.660736
