Loop 	Time(sec) 	Checksum
 s423	    14.592	2.736748
 s424	    15.086	822.364014
 s431	    37.669	1674287.625000
 s441	     7.714	196500.265625
 s451	     3.266	32007.896484
 s452	    17.894	32511.939453
 s453	    14.114	21.901442
 s471	     5.369	64004.925781
 s481	     6.187	196500.265625
 s491	     5.516	32001.640625
s4112	     4.650	1127128.875000
s4113	     5.260	32001.640625
s4114	     8.966	32000.000000
s4115	     6.352	1.038636
s4116	     5.093	0.753265
s4117	     5.337	32002.205078
s4121	     7.475	196500.265625
   va	    22.557	1.644725
  vag	     6.344	1.644725
  vas	     6.370	1.644725
  vif	     3.777	1.644725
  vpv	    34.194	1642244.625000
  vtv	    34.223	32000.000000
vpvtv	    18.493	689788.562500
vpvts	     3.591	175234766340096.000000
vpvpv	    18.495	1.644725
vtvtv	    18.479	32000.000000
vsumr	    63.426	10.950721
vdotr	    63.476	1.644725
 vbor	     3.052	31924.046875
