Loop 	Time(sec) 	Checksum
 s000	     5.065	512066944.000000
 s111	     4.294	32000.410156
s1111	    15.130	16005.822266
 s112	    10.757	84644.898438
s1112	     8.093	32001.640625
 s113	    10.061	32000.640625
s1113	     4.996	32001.640625
 s114	     5.434	919.869873
 s115	    28.922	31745.953125
s1115	     8.655	0.065485
 s116	    67.821	32000.000000
 s118	     5.824	84488.515625
 s119	     9.285	86343.289062
s1119	     9.176	119107.445312
 s121	    11.412	32009.023438
 s122	     6.380	196490.187500
 s123	     6.335	32003.283203
 s124	     6.668	32001.640625
 s125	     5.579	131072.000000
 s126	     1.111	66949.914062
 s127	    10.381	32003.283203
 s128	     9.445	80000.000000
 s131	    18.637	32009.023438
 s132	    16.779	65538.562500
 s141	     6.403	32454472.000000
 s151	    30.524	32009.023438
 s152	    11.555	152207.562500
 s162	     4.991	32009.023438
 s171	     4.549	196500.265625
 s172	     6.535	196500.265625
