Loop 	Time(sec) 	Checksum
 s317	   123.821	0.000000
 s319	    26.031	43.803417
s3110	     2.066	514.000000
s13110	     2.069	514.000000
s3111	     3.174	10.950721
s3112	     6.379	1.644725
s3113	     7.878	2.000000
 s321	     9.166	32000.000000
 s322	     5.993	32000.000000
 s323	     6.381	146472.437500
 s331	     1.625	32000.000000
 s341	     4.105	10.950721
 s342	     4.600	10.950721
 s343	     0.935	1567.932129
 s351	    55.724	25606707200.000000
s1351	    39.621	32008.869141
 s352	    37.271	1.644725
 s353	     7.826	3200838400.000000
 s421	    15.642	32009.023438
s1421	    14.257	16000.000000
 s422	    28.543	257.660736
