Loop 	Time(sec) 	Checksum
 s256	     1.145	130176.000000
 s257	     1.168	163072.000000
 s258	     0.095	14.652780
 s261	     9.299	261013.984375
 s271	    24.765	689788.562500
 s272	     1.800	64000.000000
 s273	    11.858	99055.859375
 s274	    12.089	3201031680.000000
 s275	     1.261	65536.000000
s2275	    12.554	65536.000000
 s276	    20.983	689788.562500
s1279	     1.628	689810.437500
s2710	     7.306	96003.281250
s2711	    26.923	689788.562500
s2712	    28.253	289747.562500
 s281	     6.594	32000.000000
s1281	    40.110	inf
 s291	     8.262	32000.000000
 s292	     5.510	31953.501953
 s293	     5.173	32000.000000
s2101	     0.785	1704092.000000
s2102	     6.362	256.000000
s2111	    18.220	34544940.000000
 s311	    63.428	10.950721
s31111	     9.142	10.950721
 s312	    63.383	1.030518
 s313	    31.758	1.644725
 s314	     8.130	1.000000
 s315	     1.880	54857.000000
 s316	    14.390	0.000031
