Loop 	Time(sec) 	Checksum
 s317	   123.892	0.000000
 s319	    25.827	43.803417
s3110	     1.946	514.000000
s13110	     1.946	514.000000
s3111	     3.176	10.950721
s3112	     6.387	1.644725
s3113	     7.904	2.000000
 s321	     9.168	32000.000000
 s322	     6.000	32000.000000
 s323	     6.384	146472.437500
 s331	     1.626	32000.000000
 s341	     4.106	10.950721
 s342	     4.605	10.950721
 s343	     0.937	1567.932129
 s351	    54.707	25606707200.000000
s1351	    39.624	32008.869141
 s352	    37.760	1.644725
 s353	     7.858	3200838400.000000
 s421	    15.685	32009.023438
s1421	    14.241	16000.000000
 s422	    28.592	257.660736
