Loop 	Time(sec) 	Checksum
 s000	     5.379	512066944.000000
 s111	     4.516	32000.410156
s1111	    13.163	16005.822266
 s112	    11.658	84644.898438
s1112	     8.987	32001.640625
 s113	    12.067	32000.640625
s1113	     5.420	32001.640625
 s114	     5.901	919.869873
 s115	    29.177	31745.953125
s1115	     8.713	0.065485
 s116	    52.645	32000.000000
 s118	     6.055	84488.515625
 s119	     9.610	86343.289062
s1119	     9.347	119107.445312
 s121	    12.205	32009.023438
 s122	     6.366	196490.187500
 s123	     5.511	32003.283203
 s124	     6.613	32001.640625
 s125	     5.694	131072.000000
 s126	     1.131	66949.914062
 s127	     9.598	32003.283203
 s128	     8.699	80000.000000
 s131	    19.503	32009.023438
 s132	    17.304	65538.562500
 s141	     6.567	32454472.000000
 s151	    30.568	32009.023438
 s152	    11.767	152207.562500
 s162	     5.092	32009.023438
 s171	     5.441	196500.265625
 s172	     6.486	196500.265625
