Loop 	Time(sec) 	Checksum
 s256	     1.178	130176.000000
 s257	     1.250	163072.000000
 s258	     0.088	14.652780
 s261	     8.657	261013.984375
 s271	    24.715	689788.562500
 s272	     1.811	64000.000000
 s273	    11.692	99055.859375
 s274	    11.488	3201031680.000000
 s275	     1.482	65536.000000
s2275	    14.811	65536.000000
 s276	    20.921	689788.562500
s1279	     1.649	689810.437500
s2710	     7.244	96003.281250
s2711	    26.851	689788.562500
s2712	    28.246	289747.562500
 s281	     6.598	32000.000000
s1281	    36.547	inf
 s291	     8.287	32000.000000
 s292	     5.510	31953.501953
 s293	     5.174	32000.000000
s2101	     0.800	1704092.000000
s2102	     6.240	256.000000
s2111	    18.213	34544940.000000
 s311	    63.456	10.950721
s31111	     9.274	10.950721
 s312	    63.418	1.030518
 s313	    31.767	1.644725
 s314	     8.176	1.000000
 s315	     1.889	54857.000000
 s316	    14.447	0.000031
