Loop 	Time(sec) 	Checksum
 s173	    18.671	32001.626953
 s174	    18.641	32001.626953
 s175	     6.370	32009.023438
 s176	     4.963	32063.902344
 s211	     9.801	63983.308594
 s212	     7.911	132018.859375
s1213	     7.249	132016.171875
 s221	     4.875	1543684096.000000
s1221	     3.410	630439296.000000
 s222	     6.800	32000.000000
 s231	     8.703	119107.445312
 s232	     3.691	65536.000000
s1232	     5.278	33956.261719
 s233	    18.832	504920.187500
s2233	    13.434	337652.718750
 s235	    18.844	160024.046875
 s241	    19.341	64000.000000
 s242	     3.518	1535966208.000000
 s243	    15.594	810659.437500
 s244	    13.242	70110.828125
s1244	    12.004	108527.601562
s2244	     6.701	70110.859375
 s251	    20.894	32004.367188
s1251	    32.347	400005.843750
s2251	     8.350	2.635389
s3251	    10.028	12.595580
 s252	     4.817	63999.000000
 s253	     9.848	3200845824.000000
 s254	    15.693	32000.000000
 s255	     4.690	31953.501953
