Loop 	Time(sec) 	Checksum
 s317	   124.232	0.000000
 s319	    25.805	43.803417
s3110	     1.988	514.000000
s13110	     1.983	514.000000
s3111	     3.176	10.950721
s3112	     6.436	1.644725
s3113	     8.064	2.000000
 s321	     9.173	32000.000000
 s322	     6.000	32000.000000
 s323	     6.395	146472.437500
 s331	     1.682	32000.000000
 s341	     4.162	10.950721
 s342	     4.585	10.950721
 s343	     0.924	1567.932129
 s351	    51.002	25606707200.000000
s1351	    40.032	32008.869141
 s352	    35.780	1.644725
 s353	     7.433	3200838400.000000
 s421	    15.768	32009.023438
s1421	    14.334	16000.000000
 s422	    28.771	257.660736
