Loop 	Time(sec) 	Checksum
 s256	     1.169	130176.000000
 s257	     1.182	163072.000000
 s258	     0.082	14.652780
 s261	     8.834	261013.984375
 s271	    24.913	689788.562500
 s272	     2.152	64000.000000
 s273	    12.307	99055.859375
 s274	    10.309	3201031680.000000
 s275	     1.262	65536.000000
s2275	    12.626	65536.000000
 s276	    21.418	689788.562500
s1279	     2.170	689810.437500
s2710	     6.223	96003.281250
s2711	    26.969	689788.562500
s2712	    28.260	289747.562500
 s281	     6.732	32000.000000
s1281	    36.627	inf
 s291	     8.523	32000.000000
 s292	     5.619	31953.501953
 s293	     7.589	32000.000000
s2101	     0.762	1704092.000000
s2102	     8.273	256.000000
s2111	    18.241	34544940.000000
 s311	    63.487	10.950721
s31111	     9.167	10.950721
 s312	    63.474	1.030518
 s313	    31.798	1.644725
 s314	    10.735	1.000000
 s315	     2.346	54857.000000
 s316	    16.546	0.000031
