Loop 	Time(sec) 	Checksum
 s423	    14.288	2.736748
 s424	    14.963	822.364014
 s431	    37.247	1674287.625000
 s441	     8.150	196500.265625
 s451	     3.479	32007.896484
 s452	    17.713	32511.939453
 s453	    14.080	21.901442
 s471	     6.023	64004.925781
 s481	     6.186	196500.265625
 s491	     5.514	32001.640625
s4112	     4.577	1127128.875000
s4113	     5.173	32001.640625
s4114	     9.475	32000.000000
s4115	     6.347	1.038636
s4116	     5.108	0.753265
s4117	     5.303	32002.205078
s4121	     7.354	196500.265625
   va	    21.493	1.644725
  vag	     6.167	1.644725
  vas	     6.157	1.644725
  vif	     3.720	1.644725
  vpv	    33.675	1642244.625000
  vtv	    33.689	32000.000000
vpvtv	    18.543	689788.562500
vpvts	     3.549	175234766340096.000000
vpvpv	    18.543	1.644725
vtvtv	    18.525	32000.000000
vsumr	    63.450	10.950721
vdotr	    63.563	1.644725
 vbor	     3.044	31924.046875
