Loop 	Time(sec) 	Checksum
 s423	    14.456	2.736748
 s424	    15.047	822.364014
 s431	    37.525	1674287.625000
 s441	     7.730	196500.265625
 s451	     3.316	32007.896484
 s452	    17.823	32511.939453
 s453	    14.104	21.901442
 s471	     5.356	64004.925781
 s481	     6.197	196500.265625
 s491	     5.497	32001.640625
s4112	     4.603	1127128.875000
s4113	     5.214	32001.640625
s4114	     8.863	32000.000000
s4115	     6.352	1.038636
s4116	     5.082	0.753265
s4117	     5.338	32002.205078
s4121	     7.421	196500.265625
   va	    22.043	1.644725
  vag	     6.257	1.644725
  vas	     6.213	1.644725
  vif	     3.755	1.644725
  vpv	    33.973	1642244.625000
  vtv	    33.982	32000.000000
vpvtv	    18.478	689788.562500
vpvts	     3.592	175234766340096.000000
vpvpv	    18.477	1.644725
vtvtv	    18.465	32000.000000
vsumr	    63.456	10.950721
vdotr	    63.490	1.644725
 vbor	     3.049	31924.046875
