Loop 	Time(sec) 	Checksum
 s317	   124.060	0.000000
 s319	    25.694	43.803417
s3110	     2.013	514.000000
s13110	     2.013	514.000000
s3111	     3.170	10.950721
s3112	     6.474	1.644725
s3113	     8.652	2.000000
 s321	     9.158	32000.000000
 s322	     5.990	32000.000000
 s323	     6.373	146472.437500
 s331	     1.811	32000.000000
 s341	     4.251	10.950721
 s342	     4.602	10.950721
 s343	     0.950	1567.932129
 s351	    43.953	25606707200.000000
s1351	    40.985	32008.869141
 s352	    30.787	1.644725
 s353	     6.815	3200838400.000000
 s421	    15.863	32009.023438
s1421	    14.450	16000.000000
 s422	    29.251	257.660736
