Loop 	Time(sec) 	Checksum
 s256	     1.180	130176.000000
 s257	     1.265	163072.000000
 s258	     0.087	14.652780
 s261	     8.774	261013.984375
 s271	    24.813	689788.562500
 s272	     1.836	64000.000000
 s273	    11.833	99055.859375
 s274	    11.298	3201031680.000000
 s275	     1.490	65536.000000
s2275	    14.923	65536.000000
 s276	    21.026	689788.562500
s1279	     1.678	689810.437500
s2710	     6.609	96003.281250
s2711	    26.865	689788.562500
s2712	    28.221	289747.562500
 s281	     6.615	32000.000000
s1281	    36.604	inf
 s291	     8.209	32000.000000
 s292	     5.517	31953.501953
 s293	     5.290	32000.000000
s2101	     0.839	1704092.000000
s2102	     6.464	256.000000
s2111	    18.206	34544940.000000
 s311	    63.454	10.950721
s31111	     9.176	10.950721
 s312	    63.445	1.030518
 s313	    31.775	1.644725
 s314	     8.334	1.000000
 s315	     1.915	54857.000000
 s316	    14.610	0.000031
