Loop 	Time(sec) 	Checksum
 s256	     1.133	130176.000000
 s257	     1.181	163072.000000
 s258	     0.095	14.652780
 s261	     9.276	261013.984375
 s271	    24.760	689788.562500
 s272	     1.797	64000.000000
 s273	    11.853	99055.859375
 s274	    12.077	3201031680.000000
 s275	     1.259	65536.000000
s2275	    12.567	65536.000000
 s276	    20.957	689788.562500
s1279	     1.625	689810.437500
s2710	     7.297	96003.281250
s2711	    26.899	689788.562500
s2712	    28.231	289747.562500
 s281	     6.578	32000.000000
s1281	    40.015	inf
 s291	     8.243	32000.000000
 s292	     5.496	31953.501953
 s293	     5.153	32000.000000
s2101	     0.837	1704092.000000
s2102	     6.183	256.000000
s2111	    18.213	34544940.000000
 s311	    63.405	10.950721
s31111	     9.451	10.950721
 s312	    63.407	1.030518
 s313	    31.739	1.644725
 s314	     8.126	1.000000
 s315	     1.879	54857.000000
 s316	    14.383	0.000031
