Loop 	Time(sec) 	Checksum
 s256	     1.130	130176.000000
 s257	     1.178	163072.000000
 s258	     0.086	14.652780
 s261	     8.714	261013.984375
 s271	    24.737	689788.562500
 s272	     1.821	64000.000000
 s273	    11.762	99055.859375
 s274	    11.437	3201031680.000000
 s275	     1.257	65536.000000
s2275	    12.518	65536.000000
 s276	    20.931	689788.562500
s1279	     1.647	689810.437500
s2710	     7.014	96003.281250
s2711	    26.849	689788.562500
s2712	    28.179	289747.562500
 s281	     6.595	32000.000000
s1281	    36.493	inf
 s291	     8.166	32000.000000
 s292	     5.504	31953.501953
 s293	     5.216	32000.000000
s2101	     0.804	1704092.000000
s2102	     6.053	256.000000
s2111	    18.179	34544940.000000
 s311	    63.340	10.950721
s31111	     9.233	10.950721
 s312	    63.330	1.030518
 s313	    31.693	1.644725
 s314	     8.241	1.000000
 s315	     1.901	54857.000000
 s316	    14.524	0.000031
