Loop 	Time(sec) 	Checksum
 s423	    14.276	2.736748
 s424	    14.951	822.364014
 s431	    37.303	1674287.625000
 s441	     8.578	196500.265625
 s451	     3.478	32007.896484
 s452	    17.774	32511.939453
 s453	    14.102	21.901442
 s471	     6.354	64004.925781
 s481	     6.271	196500.265625
 s491	     5.574	32001.640625
s4112	     4.720	1127128.875000
s4113	     5.303	32001.640625
s4114	     9.732	32000.000000
s4115	     6.357	1.038636
s4116	     5.091	0.753265
s4117	     5.312	32002.205078
s4121	     7.364	196500.265625
   va	    21.625	1.644725
  vag	     6.253	1.644725
  vas	     6.205	1.644725
  vif	     3.731	1.644725
  vpv	    33.740	1642244.625000
  vtv	    33.727	32000.000000
vpvtv	    18.521	689788.562500
vpvts	     3.554	175234766340096.000000
vpvpv	    18.579	1.644725
vtvtv	    18.492	32000.000000
vsumr	    63.422	10.950721
vdotr	    63.543	1.644725
 vbor	     3.042	31924.046875
