Loop 	Time(sec) 	Checksum
 s256	     1.129	130176.000000
 s257	     1.173	163072.000000
 s258	     0.084	14.652780
 s261	     8.858	261013.984375
 s271	    24.744	689788.562500
 s272	     1.994	64000.000000
 s273	    12.126	99055.859375
 s274	    10.397	3201031680.000000
 s275	     1.263	65536.000000
s2275	    12.529	65536.000000
 s276	    21.139	689788.562500
s1279	     1.988	689810.437500
s2710	     6.265	96003.281250
s2711	    26.884	689788.562500
s2712	    28.149	289747.562500
 s281	     6.722	32000.000000
s1281	    36.643	inf
 s291	     8.403	32000.000000
 s292	     5.578	31953.501953
 s293	     6.192	32000.000000
s2101	     0.823	1704092.000000
s2102	     7.373	256.000000
s2111	    18.222	34544940.000000
 s311	    63.353	10.950721
s31111	     9.157	10.950721
 s312	    63.368	1.030518
 s313	    31.729	1.644725
 s314	     9.236	1.000000
 s315	     2.103	54857.000000
 s316	    15.688	0.000031
