Loop 	Time(sec) 	Checksum
 s256	     1.174	130176.000000
 s257	     1.265	163072.000000
 s258	     0.094	14.652780
 s261	     9.081	261013.984375
 s271	    24.728	689788.562500
 s272	     1.800	64000.000000
 s273	    11.943	99055.859375
 s274	    12.135	3201031680.000000
 s275	     1.508	65536.000000
s2275	    15.074	65536.000000
 s276	    21.814	689788.562500
s1279	     1.624	689810.437500
s2710	     7.399	96003.281250
s2711	    26.880	689788.562500
s2712	    28.210	289747.562500
 s281	     6.579	32000.000000
s1281	    39.719	inf
 s291	     8.180	32000.000000
 s292	     5.499	31953.501953
 s293	     5.102	32000.000000
s2101	     0.807	1704092.000000
s2102	     6.387	256.000000
s2111	    18.221	34544940.000000
 s311	    63.438	10.950721
s31111	     9.149	10.950721
 s312	    63.418	1.030518
 s313	    31.726	1.644725
 s314	     8.113	1.000000
 s315	     1.879	54857.000000
 s316	    14.384	0.000031
